1000.wav|Which two dhammas • Name & form • Ignorance & craving for becoming.
1001.wav|He has four qualities • He is wise • He is mindful • He is alert • He is stilled.
1002.wav|Three unskillful qualities • Passion • Aversion • Delusion.
1003.wav|These four jhānas • The first jhāna • The second jhāna • The third jhāna.
1004.wav|The three knowledges • Knowledge of birth • Knowledge of death • Knowledge of unbinding.
1005.wav|What are the four dhammas • Virtue • Concentration • Discernment • Release.
1006.wav|Four noble qualities • Conviction • Persistence • Mindfulness • Discernment.
1007.wav|Let a monk stay • He is mindful • He is alert • He is tranquil.
1008.wav|Let a disciple discern • Form is inconstant • Feeling is inconstant • Perception is inconstant.
1009.wav|Three heightened states • Heightened virtue • Heightened mind • Heightened discernment.
1010.wav|The three contemplatives • Sāriputta • Moggallāna • Mahā Kassapa.
1011.wav|These three are noble • Noble view • Noble concentration • Noble release.
1012.wav|The four great cities • Sāvatthī • Rājagaha • Vesālī • Bārāṇasī.
1013.wav|Three unskillful thoughts • Thoughts of sensuality • Thoughts of ill will • Thoughts of harmfulness.
1014.wav|Three skillful thoughts • Renunciation • Dispassion • Cessation.
1015.wav|The four noble truths • Stress • The origination of stress • The cessation of stress.
1016.wav|Establishing of mindfulness • Body • Feelings • Mind • Mental qualities.
1017.wav|Four right practices • Abandoning unskillful qualities • Taking on skillful qualities.
1018.wav|Four paths of power • Concentration • Persistence • Mind • Discernment.
1019.wav|Five faculties • Conviction • Persistence • Mindfulness • Concentration.
1020.wav|Five faculties again • Conviction • Persistence • Mindfulness • Discernment.
1021.wav|Seven factors of awakening • Mindfulness • Analysis of qualities • Persistence • Rapture.
1022.wav|Seven factors of awakening again • Quiet • Concentration • Equanimity.
1023.wav|The noble path • Right view • Right concentration • Right mindfulness.
1024.wav|Three types of feeling • Pleasant feeling • Painful feeling • Neither-pleasant-nor-painful feeling.
1025.wav|Three types of craving • Craving for sensuality • Craving for becoming • Craving for non-becoming.
1026.wav|Three forms of stress • The stress of pain • The stress of fabrication • The stress of change.
1027.wav|Three paths of action • Bodily misconduct • Verbal misconduct • Mental misconduct.
1028.wav|Purity of life • Purity of body • Purity of speech • Purity of mind.
1029.wav|Three noble refuge • The Buddha • The Dhamma • The Saṅgha.
1030.wav|the body named [Vehapphalā] Sky-fruit, the {body} named [Abhibhū] Conqueror which you don't know, don't see.
1031.wav|the body named Subhakiṇhā [Beautiful Black] and the body named Abhibhū {Conqueror} is what I see.
1032.wav|Then Nakula's mother [Nakulamatar] said to him: 'Don't be worried as you die, householder.'
1033.wav|the contemplatives called the Nigaṇṭhas [Jains] were sitting in the assembly.
1034.wav|remember his past life [former home] that is, one birth, two births, three births.
1035.wav|accepts eight rules of respect [garu-dhamma] as her Acceptance [as a nun].
1036.wav|spontaneous exclamations [udāna] and the quotations [itivuttaka] along with birth stories [jātaka].
1037.wav|the monk Cūḷa Panthaka (Panthaka) sat with his body held erect.
1038.wav|Venerable Bhaddiya, Kāḷigodhā's son, would repeatedly exclaim: 'What bliss!'
1039.wav|the monk named Puṇṇa Mantāṇiputta (Mantāṇi's son) is esteemed by the native-land monks.
1040.wav|this evil viewpoint (diṭṭhigata) had arisen in the monk Ariṭṭha Formerly-of-the-Vulture-Killers.
1041.wav|Gosiṅga (Cattle-horn) Sāla-tree Forest Park was quiet and peaceful.
1042.wav|in-and-out breaths (bodily fabrications) have ceased in the fourth jhāna.
1043.wav|directed thoughts & evaluations (verbal fabrications) have ceased in the second jhāna.
1044.wav|Mahāpajāpati Gotamī (Gotamī) approached the Blessed One.
1045.wav|Uddaka Rāmaputta (Rāmaputta) was competent and intelligent.
1046.wav|the brahman Jaṭā (Tangle) Bhāradvāja received the Going-forth.
1047.wav|the lay follower Soṇa Koṭikaṇṇa (Koṭikaṇṇa) was Venerable Mahā Kaccāna's supporter.
1048.wav|Pañcakaṅga the carpenter {Pañcakaṅga} addressed Venerable Udāyin.
1049.wav|King Ajātasattu Vedehiputta {Vedehiputta} marched toward Kāsi.
1050.wav|a certain devatā {devatā} went to Venerable Samiddhi at Tapodā.
1051.wav|the spirit Dīgha Parajana {Parajana} went to the Blessed One.
1052.wav|the monk Khemaka {Khemaka} said: 'I am not getting better, my friend.'
1053.wav|King Pasenadi Kosala {Kosala} sat there miserable and sick at heart.
1054.wav|Venerable Sāriputta {Sāriputta} addressed the monks in Jeta's Grove.
1055.wav|Venerable Mahā Moggallāna {Moggallāna} fabricated a psychic feat.
1056.wav|Venerable Mahā Kassapa {Kassapa} saw the Ājīvaka ascetic.
1057.wav|Venerable Ānanda {Ānanda} stood near the Blessed One.
1058.wav|Venerable Mahā Kaccāna {Kaccāna} explained the brief statement in full.
1059.wav|the Blessed One {the Teacher} addressed the monks: 'Monks!'
1060.wav|'Hey, Kālī!' 'What, madam?' 'Why did you get up after daybreak?'
1061.wav|'Is form constant or inconstant?' 'Inconstant, lord.' 'And is that which is inconstant stressful or pleasant?' 'Stressful, lord.'
1062.wav|'Do you understand, monk?' 'Yes, lord, I understand.'
1063.wav|'Where is Mahā Moggallāna… Where is Mahā Kassapa… Where is Mahā Kaccāna?'
1064.wav|'This is peace… this is exquisite… the pacification of all fabrications…'
1065.wav|'This is stress… this is the origination of stress… this is the cessation of stress…'
1066.wav|'Well, yes.' 'Oh, indeed.' 'See, look.' 'Look, see.'
1067.wav|'Listen, monk.' 'Speak, friend.' 'Right, then.'
1068.wav|'Yes, lord, it is.' 'No, friend, indeed.' 'So, let it be.'
1069.wav|'Come, friend, see.' 'Go, monk, now.' 'Thus, it is.'
1070.wav|'Always mindful… always alert… heedful, they prosper.'
1071.wav|'Mindful, they wake… stilled, they dwell… released, they rejoice.'
1072.wav|'Calmed, they sit… tranquil, they stay… peaceful, they live.'
1073.wav|'Unbound, they wake… ceased, all is quiet.'
1074.wav|'Look, the moon… look, the stars… listen, the wind…'
1075.wav|'Listen, the sound… speak, wise one… listen, disciple…'
1076.wav|'This, indeed, is peace… that, indeed, is Unbinding…'
1077.wav|'Indeed, it is stilled… indeed, it has ceased…'
1078.wav|'Always quiet… always stilled… silently, they sit…'
1079.wav|'Gently, they speak… wise, they are… noble, they live…'
1080.wav|A monk with heightened mind (jhāna) attains pleasant abidings.
1081.wav|An uninstructed, run-of-the-mill person engages in bodily misconduct.
1082.wav|The well-regarded teacher has rightly expounded the true Dhamma.
1083.wav|Pūraṇa Kassapa & Makkhali Gosāla are well-regarded contemplatives.
